,Region,Date,Produit,Valeur,Unnamed: 0
0,Nairobi,2021-05-24 00:00:00,aubergines,38.1,
1,Nairobi,2021-05-24 00:00:00,avocats,25.0,
2,Nairobi,2021-05-24 00:00:00,avocats,30.0,
3,Nairobi,2021-05-24 00:00:00,avocats,31.11,
4,Nairobi,2021-05-24 00:00:00,avocats,33.33,
5,Nairobi,2021-05-24 00:00:00,avocats,34.44,
6,Nairobi,2021-05-24 00:00:00,carottes,16.92,
7,Nairobi,2021-05-24 00:00:00,carottes,18.12,
8,Nairobi,2021-05-24 00:00:00,carottes,18.31,
9,Nairobi,2021-05-24 00:00:00,carottes,19.33,
10,Nairobi,2021-05-24 00:00:00,carottes,20.0,
11,Nairobi,2021-05-24 00:00:00,carottes,20.67,
12,Nairobi,2021-05-24 00:00:00,carottes,22.22,
13,Nairobi,2021-05-24 00:00:00,carottes,25.0,
14,Nairobi,2021-05-24 00:00:00,carottes,27.78,
15,Nairobi,2021-05-24 00:00:00,carottes,28.33,
16,Nairobi,2021-05-24 00:00:00,carottes,30.0,
17,Nairobi,2021-05-24 00:00:00,carottes,33.0,
18,Nairobi,2021-05-24 00:00:00,carottes,35.0,
19,Nairobi,2021-05-24 00:00:00,carottes,40.0,
20,Nairobi,2021-05-24 00:00:00,carottes,50.0,
21,Nairobi,2021-05-24 00:00:00,citrons,0.1,
22,Nairobi,2021-05-24 00:00:00,oranges,0.11,
23,Nairobi,2021-05-24 00:00:00,oranges,30.0,
24,Nairobi,2021-05-24 00:00:00,oranges,45.0,
25,Nairobi,2021-05-24 00:00:00,tomates,31.25,
26,Nairobi,2021-05-24 00:00:00,tomates,31.76,
27,Nairobi,2021-05-24 00:00:00,tomates,32.14,
28,Nairobi,2021-05-24 00:00:00,tomates,32.81,
29,Nairobi,2021-05-24 00:00:00,tomates,33.75,
30,Nairobi,2021-05-24 00:00:00,tomates,34.38,
31,Nairobi,2021-05-24 00:00:00,tomates,40.0,
32,Nairobi,2021-05-24 00:00:00,tomates,45.83,
33,Nairobi,2021-05-24 00:00:00,tomates,48.33,
34,Nairobi,2021-05-24 00:00:00,tomates,50.0,
35,Nairobi,2021-05-24 00:00:00,tomates,52.0,
36,Nairobi,2021-05-24 00:00:00,tomates,52.5,
37,Nairobi,2021-05-24 00:00:00,tomates,52.73,
38,Nairobi,2021-05-24 00:00:00,tomates,53.33,
39,Nairobi,2021-05-24 00:00:00,tomates,54.55,
40,Nairobi,2021-05-24 00:00:00,tomates,60.0,
