Date;Produit;Region;Valeur
15/03/2022;NAVETS;Casablanca-Settat;1.8
15/03/2022;OIGNONS FRAIS;Casablanca-Settat;2.25
15/03/2022;OIGNONS SECS;Casablanca-Settat;7
15/03/2022;PERSIL;Casablanca-Settat;1
15/03/2022;PETITS POIS VERTS;Casablanca-Settat;14
15/03/2022;PIMENTS;Casablanca-Settat;13
15/03/2022;POIVRONS VERTS;Casablanca-Settat;6.5
15/03/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3
15/03/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.5
15/03/2022;TOMATES;Casablanca-Settat;8
15/03/2022;CORIANDRE;Casablanca-Settat;1
15/03/2022;OIGNONS;Casablanca-Settat;7.95
15/03/2022;MENTHE;Casablanca-Settat;1
15/03/2022;LAITUE;Casablanca-Settat;2
15/03/2022;AILS;Casablanca-Settat;45
15/03/2022;ARTICHAUTS;Casablanca-Settat;3.8
15/03/2022;AUBERGINES;Casablanca-Settat;4.5
15/03/2022;BETTERAVES ROUGE;Casablanca-Settat;1.9
15/03/2022;CAROTTES;Casablanca-Settat;3
15/03/2022;CHOUX FLEURS;Casablanca-Settat;2.83
15/03/2022;CHOUX POMMES;Casablanca-Settat;2.5
15/03/2022;CONCOMBRES;Casablanca-Settat;2.8
15/03/2022;COURGETTES;Casablanca-Settat;5
15/03/2022;FEVES VERTES;Casablanca-Settat;3
15/03/2022;HARICOTS VERTS;Casablanca-Settat;13
15/03/2022;AVOCATS;Casablanca-Settat;20
15/03/2022;BANANES IMPORTES;Casablanca-Settat;20
15/03/2022;BANANES LOCALES;Casablanca-Settat;7.25
15/03/2022;CITRONS;Casablanca-Settat;3
15/03/2022;CLEMENTINES;Casablanca-Settat;3.8
15/03/2022;COINGS;Casablanca-Settat;6
15/03/2022;FRAISES;Casablanca-Settat;12.5
15/03/2022;KAKI;Casablanca-Settat;20
15/03/2022;KIWI;Casablanca-Settat;26
15/03/2022;ORANGES;Casablanca-Settat;2.7
15/03/2022;MANGUES;Casablanca-Settat;33
15/03/2022;PAPAYA;Casablanca-Settat;8.5
15/03/2022;PASTEQUES;Casablanca-Settat;9
15/03/2022;POIRES;Casablanca-Settat;14.95
15/03/2022;POMMES IMPORTES;Casablanca-Settat;22
15/03/2022;POMMES LOCALES;Casablanca-Settat;9.75
15/03/2022;COSCOUSS;Casablanca-Settat;17
15/03/2022;CONSERVE DE SARDINE;Casablanca-Settat;60
15/03/2022;PATES ALIMENTAIRES;Casablanca-Settat;12
15/03/2022;DATTES MAJHOUL;Casablanca-Settat;120
15/03/2022;DATTES NATIONALES;Casablanca-Settat;32
15/03/2022;THE VERT SULTAN;Casablanca-Settat;43
15/03/2022;THE VERT;Casablanca-Settat;48
15/03/2022;CONSERVE DE THON;Casablanca-Settat;90
15/03/2022;MAùS LOCALE;Casablanca-Settat;6.5
15/03/2022;ORGE LOCALE;Casablanca-Settat;5.5
15/03/2022;ORGE IMPORTEE;Casablanca-Settat;2
15/03/2022;MAùS IMPORTê;Casablanca-Settat;4
